Pāli1	Fin	ex	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Meaning in SBS-PER	Pāli Root	Base	Construction	Sanskrit	Sk Root	Variant	Commentary	Notes	Source1	Sutta1	Example1	Pali chant 1	English chant 1	Chapter 1	Source2	Sutta2	Example2	Pali chant 2	English chant 2	Chapter 2	Source3	Sutta3	Example3	Pali chant 3	English chant 3	Chapter 3	Index	Stem	Pattern	Test	class	count	audio
aṇḍakosa	p		masc	comp						eggshell	яичная скорлупа				aṇḍa + kosa	aṇḍakośa					SN 22.101	vāsijaṭasuttaṃ	kiñ'c'āpi tassā kukkuṭiyā evaṃ icchā uppajjeyya, aho, vata me kukkuṭapotakā pādanakhasikhāya vā mukhatuṇḍakena vā <b>aṇḍakosaṃ</b> padāletvā sotthinā abhinibbhijjeyyun'ti																	aṇḍakos	a masc	5			
aṇḍabhūta	p		adj	comp						weak; fragile; lit. become like an egg	слабый; хрупкий; досл. ставший как яйцо				aṇḍa + bhūta	aṇḍa + bhūta		addhabhūta	(SNa) aṇḍabhūto'ti aṇḍaṃ viya bhūto dubbalo. yathā kukkuṭaṇḍaṃ vā mayūraṇḍaṃ vā geṇḍukaṃ viya gahetvā khipantena vā paharantena vā na sakkā kīḷituṃ, tāva'd'eva bhijjati, evamayam'pi kāyo kaṇṭakepi khāṇukepi pakkhalitassa bhijjatīti aṇḍaṃ viya bhūto'ti aṇḍabhūto.		SN 22.1	nakulapitusuttaṃ	evam'etaṃ, gahapati, evam'etaṃ, gahapati! āturo h'āyaṃ, gahapati, kāyo <b>aṇḍabhūto</b> pariyonaddho.																	aṇḍabhūt	a adj	5			
aṇṇava	ps		masc							sea; ocean; body of water	море; океан; водоем		√ar 1 a (to move, attain)		√ar + ṇa + va	arṇava	√ṛ				MN 22	alagaddūpamasuttaṃ	seyyathā’pi, bhikkhave, puriso addhānamaggappaṭipanno. so passeyya mahantaṃ udaka-<b>aṇṇavaṃ</b>, orimaṃ tīraṃ sāsaṅkaṃ sappaṭibhayaṃ, pārimaṃ tīraṃ khemaṃ appaṭibhayaṃ.				Thai		buddho susuddho karuṇā-mah’<b>aṇṇavo</b>, yo’ccanta-suddhabbara-ñāṇa-locano, lokassa pāp’ūpakilesa-ghātako	Ratanattaya-paṇāma	Salutation to the Triple Gem	Homage to the Triple Gem							05n	aṇṇav	a masc	5			
aṇha	p		masc	in comps						day; part of the day; time of the day	день; время дня; часть дня										SN 12.63	puttamaṃsūpamasuttaṃ	tam’enaṃ pubb’<b>aṇha</b>samayaṃ satti-satena haneyyuṃ. atha rājā majjh’<b>anh</b>ikasamayaṃ evaṃ vadeyya — ‘ambho, kathaṃ so puriso’ti?																	aṇh	a masc	5			
atakkāvacara	p		adj	comp						beyond logic; outside the realm of conjecture; beyond the realm of thought	за пределами логики; вне сферы предположений; за пределами воображения				na > a + takka + avacara						ITI 43	ajātasuttaṃ	 tassa nissaraṇaṃ santaṃ, <b>atakk’āvacaraṃ</b> dhuvaṃ. ajātaṃ asamuppannaṃ, asokaṃ virajaṃ padaṃ. nirodho dukkhadhammānaṃ, saṅkhār’ūpasamo sukho’ti.																	atakkāvacar	a adj	5			
ataccha 1	p		adj		na taccha	neg				untrue; false	не правдивый; ложный				na + tatha + ya<br/>atatha + ya	atathya					MN 139	araṇavibhaṅgasuttaṃ	tatra, bhikkhave, yaṃ jaññā rahovādaṃ abhūtaṃ <b>atacchaṃ</b> anatthasaṃhitaṃ sasakkaṃ taṃ rahovādaṃ na bhāseyya.																	atacch	a adj	5			
atatha	p		nt		tathā	neg				untruth; not fact	неправда; не факт				na > a + tathā + a	na + tattva					MN 105	sunakkhattasuttaṃ	taṃ me taṇhāsallaṃ pahīnaṃ, apanīto avijjāvisadoso, sammā nibbānādhimuttohamasmī’ti. evaṃmānī assa <b>atathaṃ</b> samānaṃ.																	atath	a nt	5			
atandita	ps		adj	pp	na tandita	neg				energetic; effortful; active; alert; lit. not lazy	энергичный; усердный; активный; в состоянии готовности; досл. не ленивый	relentless	√tand 1 a (to be slow, lazy)		na + √tand + ita	atandrita	√tand √tandr				DHP 305	pakiṇṇakavaggo	ek'āsanaṃ ekaseyyaṃ, eko caram'<b>atandito</b>,<br/>eko damayam'attānaṃ, van'ante ramito siyā.				MN 131	bhaddekarattasuttaṃ	evaṃ vihārim’ātāpiṃ, ahorattam’<b>atanditaṃ</b>. taṃ ve bhadd’eka-ratto’ti, santo ācikkhate muni.	Bhadd’eka-ratta	A single Excellent Night	Verses							16n	atandit	a adj	5			
atandī	s		adj		na tandī	neg				not lazy; without sloth	не ленивый; без медлительности		√tand 1 a (to be slow, lazy)		na + √tand + ī	na + tandrī	√tand										Trad		etā pi buddha-jaya-maṅgala-aṭṭha-gāthā, yo vācano dina-dine sarate’m’<b>atandī</b>, hitvān’aneka-vividhāni c’upaddavāni, mokkhaṃ sukhaṃ adhigameyya naro sapañño	Jaya-maṅgala-aṭṭha-gāthā		Protective Recitations							60n	atand	ī adj	5			
atammaya	pp		adj	comp	na ta	neg			+loc	not identified (with); lit. not made of that (in)	не отождествленный (с); досл. не произведенный из этого (в)				na + taṃ + maya	na + tanmaya			(ANa) atammayo’ti tammayā vuccanti taṇhādiṭṭhiyo, tāhi rahito.		AN 6.104	atammayasuttaṃ	sabbaloke ca <b>atammayo</b> bhavissāmi, ahaṅ'kārā ca me uparujjhissanti, mamaṅ'kārā ca me uparujjhissanti, 				AN 3.40	ādhipateyyasuttaṃ	pasayha māraṃ abhibhuyya antakaṃ, yo ca phusī jātikkhayaṃ padhānavā,<br/>so tādiso lokavidū sumedho, sabbesu dhammesu <b>atammayo</b> munī'ti.											atammay	a adj	5			
atammayatā	p		fem	abstr, comp	na atammaya	neg			+instr	principle of non-identification (with); lit. state of not being made of that	принцип не отождествления (с); досл. состояние не быть сделанным из этого				na + taṃ + maya + tā<br/>atammaya + tā	na + tanmayatā			(MNa) atammayatā'ti tammayatā vuccati taṇhā, nittaṇhā'ti attho.		MN 137	saḷāyatanavibhaṅgasuttaṃ	<b>atammayataṃ</b>, bhikkhave, nissāya <b>atammayataṃ</b> āgamma y’āyaṃ upekkhā ekattā ekattasitā taṃ pajahatha, taṃ samatikkamatha.																	atammayat	ā fem	5			
ataramāna	p		prp		tarati	neg		intrans		not hurrying; slowly			√tar 1 a (to hurry)	√tar + a > tara	na > a + tara + māna<br/>na + taramāna	na + tvaramāṇa	√tvar				MN 139	araṇavibhaṅgasuttaṃ	tatra, bhikkhave, <b>ataramānassa</b> bhāsato kāyo'pi na kilamati, cittam'pi na upahaññati, saro'pi na upahaññati, kaṇṭho'pi na āturīyati, visaṭṭham'pi hoti viññeyyaṃ <b>ataramānassa</b> bhāsitaṃ.																	atara	māna prp	5			
ataramāna 1	p		prp		na tarati	neg		intrans		being not in a hurry; not making haste	не торопящийся; поступающий не поспешно		√tar 1 a (to hurry)	√tar + a > tara	na + tara + māna<br/>na + taramāna	na + tvar	√tvar				MN 139	araṇavibhaṅgasuttaṃ	rahovādaṃ na bhāseyya, sammukhā na khīṇaṃ bhaṇe. <b>ataramāno</b>’va bhāseyya, no taramāno.																	atara	māna prp	5			
atari	pn		aor		tarati			trans	+acc	crossed (over); made it across	пересек; преодолел		√tar 1 a (to cross)		a + √tar + i	atāri	√tṝ				SN 35.228	paṭhama samuddasuttaṃ	yo taṃ rūpamayaṃ vegaṃ sahati, ayaṃ vuccati, bhikkhave, <b>atari</b> cakkhusamuddaṃ saūmiṃ sāvaṭṭaṃ sagāhaṃ sarakkhasaṃ.				SNP 48	purābhedasuttaṃ<br/>aṭṭhakavaggo 10	taṃ brūmi upasanto'ti, kāmesu anapekkhinaṃ,<br/>ganthā tassa na vijjanti, <b>atarī</b> so visattikaṃ.											atar	i aor	5			
atāṇa	p		adj			neg				without refuge; defenseless; without protection	без убежища; незащищенный; без защиты		√tā 3 ya (to protect, preserve)		na + √tā + ṇa	atrāṇa	√trai				NIDD1 2	guhaṭṭhakasuttaniddeso	bhayato upasaggato calato pabhaṅguto adhuvato <b>atāṇato</b> aleṇato asaraṇato rittato tucchato suññato anattato ādīnavato																	atāṇ	a adj	5			
atāri	p		aor		tarati			trans	+acc	crossed (over); made it across	пересек		√tar 1 a (to cross)		a + √tar + i	atāri	√tṝ			with metrically lengthened ā ; or because sk is atāri	AN 4.41	samādhibhāvanāsuttaṃ	“saṅkhāya lokasmiṃ paro’parāni, yass’iñjitaṃ n’atthi kuhiñci loke. santo vidhūmo anīgho nirāso, <b>atāri</b> so jātijaran’ti brūmī”ti																	atār	i aor	5			
ati	ps		prefix							beyond; over; past; very	вовне; слишком; пере-; мимо; очень					ati			atisīta - too cold <br/>atisitvā - having bypassed, having overlooked<br/>atīta - past, gone past	atimānī – one who is proud, conceited<br/>accaya - the death; lit. going beyond			<b>ati-</b>sītan’ti, <b>ati-</b>uṇhan’ti, <b>ati-</b>sāyan’ti, <b>ati-</b>pāto’ti, <b>ati-</b>chāto’smī’ti, <b>ati-</b>dhāto’smī’ti<br/>aṭṭīyati harāyati jigucchati attānaṃ’y’eva <b>ati-</b>sitvā<br/><b>atī’</b>tam’p’āhaṃ addhānaṃ evam’eva rūpena khajjiṃ						suvaco c’assa mudu, an<b>’ati’</b>mānī<br/>so vo mam’<b>acc-</b>ayena satthā			Prefixes							99n	-		5			
atiuṇhaṃ	p		ind	adv						too hot	очень жарко; слишком жарко		√us 6 ṇhā (to be hot)		ati + √us + nha		√uṣ				DN 31.11	siṅgālasuttaṃ	ādīnavā ālasy'ānuyoge. atisītan'ti kammaṃ na karoti, <b>atiuṇhan</b>'ti kammaṃ na karoti, atisāyan'ti kammaṃ na karoti, atipāto'ti kammaṃ na karoti, atichāto'smī'ti kammaṃ na karoti																	-		5			
atikkantamānusaka	pp		adj	comp						surpassing normal human ability; lit. surpassed human	превосходящий нормальные человеческие способности; досл. превзошедший человека				atikkanta + mānusaka	atikrānta + mānuṣaka					MN 39	mahāassapurasuttaṃ	so dibbena cakkhunā visuddhena <b>atikkantamānusakena</b> satte passati cavamāne upapajjamāne hīne paṇīte suvaṇṇe dubbaṇṇe, sugate duggate, yathākamm’ūpage satte pajānāti				AN 5.23	upakkilesasuttaṃ	dibbāya sotadhātuyā visuddhāya <b>atikkantamānusikāya</b> ubho sadde suṇeyyaṃ, dibbe ca mānuse ca ye dūre santike cā’ti											atikkantamānus	aka adj	5			
atikkanta 1	p		adj	pp	atikkamati					gone beyond; surpassed	вышедший за пределы; превзошедший		√kam 1 a (to go)		ati + √kam + ta	atikrānta	√kram				MN 39	mahāassapurasuttaṃ	so dibbena cakkhunā visuddhena <b>atikkanta-</b>mānusakena satte passati cavamāne upapajjamāne hīne paṇīte suvaṇṇe dubbaṇṇe, sugate duggate, yathākamm’ūpage satte pajānāti																	atikkant	a adj	5			
atikkanta 2	ps		pp		atikkamati					gone past; passed by	прошедший; минувший		√kam 1 a (to go)		ati + √kam + ta	atikrānta	√kram				VIN PAT PK	saṅghuposatha pubbakaraṇādi vidhi	utu’kkhānaṃ: hemant’ādīnaṃ tiṇṇaṃ utūnaṃ, ettakaṃ <b>atikkantaṃ</b>, ettakaṃ avasiṭṭhan'ti. evaṃ utu-ācikkhanaṃ kataṃ kiṃ?				PAT PK	dhammayuttika-pubbakicca	iminā pakkhena: eko uposatho sampatto, eko uposathā <b>atikkantā</b>,  cha uposathā avasiṭṭhā.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	atikkant	a pp	5			
atikkama	s		masc		atikkamati				+gen	surpassing; transcending; going beyond; overcoming; lit. going past (of)	превозмогание; переступание; выход за пределы; преодоление; досл. проход мимо		√kam 1 a (to go)		ati + √kam + a	atikrama	√kram										DHP 191	buddhavaggo	dukkhaṃ dukkhasamuppādaṃ, dukkhassa ca <b>atikkamaṃ</b>, ariyañ’c’aṭṭh’aṅgikaṃ maggaṃ, dukkh’ūpasama-gāminaṃ.	Khem’ākhema-saraṇa-gamana	Going to True and False Refuges	Verses							08n	atikkam	a masc	5			
atikkamati 1	p		pr					trans	+acc	transcends; overcomes; goes beyond; crosses over	выходит за рамки; преодолевает; пересекает		√kam 1 a (to go)	√kam + a > kama	ati + kama + ti	atikramate	√kram				DHP 221	kodhavaggo	kodhaṃ jahe vippajaheyya mānaṃ, saṃyojanaṃ sabbam'<b>atikkameyya</b>,<br/>taṃ nāmarūpasmim'asajjamānaṃ, akiñcanaṃ n'ānupatanti dukkhā.																	atikkam	ati pr	5			
atikkamitabba	p		ptp		atikkamati					could be overcome; could be surpassed; (comm) could be hurt or struck; lit. to be gone beyond	можно побороть; можно превзойти; (комм) можно ранить или ударить; досл. за пределы которого можно выйти		√kam 1 a (to go)		ati + √kam + itabba	atikramaṇīya	√kram		(SNa) atikkamitabban'ti viheṭhetabbaṃ ghaṭṭetabbaṃ.		SN 1.38	sakalikasuttaṃ	yo evarūpaṃ purisanāgaṃ purisasīhaṃ purisaājānīyaṃ purisanisabhaṃ purisadhorayhaṃ purisadantaṃ <b>atikkamitabbaṃ</b> maññeyya kim'aññatra adassanā'ti.																	atikkamitabb	a ptp	5			
atikkamitvā	p		abs		atikkamati			trans	+acc	having overstepped; having gone beyond; having crossed over	перешагнув; переступив; преодолев		√kam 1 a (to go)		ati + √kam + itvā	atikrāntvā	√kram				UDa 1.10	bāhiyasuttaṃ vaṇṇanā	n’āhaṃ taṃ pamāṇaṃ <b>atikkamitvā</b> rajjan’ādivasena uppajjituṃ dassāmī’ti evam’ettha attho daṭṭhabbo.																	-		5			
atikkamma 1	p		ger		atikkamati			trans	+acc	surpassing; overcoming; going beyond	превосходя; преодолевая; выходя за; проходя за		√kam 1 a (to go)		ati + √kam + ya	samatikramya	√kram				MN 70	kīṭāgirisuttaṃ	ubhatobhāgavimutto - idha ekacco puggalo ye te santā vimokkhā <b>atikkamma</b> rūpe āruppā te kāyena phusitvā viharati paññāya cassa disvā āsavā parikkhīṇā honti.																	-		5	8	134	
atikkamma 2	p		ger		atikkamati			trans	+acc	missing; going past	пропуская; проходя за		√kam 1 a (to go)		ati + √kam + ya	samatikramya	√kram				MN 18	madhupiṇḍikasuttaṃ	seyyathā’pi puriso sār’atthiko sāragavesī sārapariyesanaṃ caramāno mahato rukkhassa tiṭṭhato sāravato <b>atikkamm</b>’eva mūlaṃ, <b>atikkamma</b> khandhaṃ, sākhāpalāse sāraṃ pariyesitabbaṃ maññeyya																	-		5	8	134	
atikkāmayanta	p		prp		atikkāmayati		caus	trans	+acc	exceeding; going over; lit. causing to go beyond	превышающий; входящий за пределы; досл. приводящий к выходу за рамки		√kam 1 *aya (to go)	√kam + *aya > kāmaya (caus)	ati + kāmaya + nta	atikram	√kram				VIN NP 1	kathina sikkhāpada	niṭṭhita-cīvarasmiṃ bhikkhunā ubbhatasmiṃ kaṭhine das’āha-paramaṃ atireka-cīvaraṃ dhāretabbaṃ. taṃ <b>atikkāmayato</b>, nissaggiyaṃ pācittiyaṃ.																	atikkāmay	anta prp	5			
atikkāmeti	pp		pr		atikkamati		caus			exceeds; goes over; lit. causes to go beyond	превосходит; превышает; досл. побуждает выйти за рамки		√kam 1 *e (to go)	√kam + *e > kāme (caus)	ati + kāme + ti	atikrāmayati	√kram				VIN PAT SA 6	kuṭikāra sikkhāpada	sārambhe ce bhikkhu vatthusmiṃ aparikkamane saññācikāya kuṭiṃ kāreyya bhikkhū vā anabhineyya vatthu-desanāya pamāṇaṃ vā <b>atikkāmeyya</b>, saṅghādiseso.				VIN PAT PC 83	antepura sikkhāpada	yo pana bhikkhu rañño, khattiyassa muddh’ābhisittassa, anikkhantarājake aniggataratanake, pubbe appaṭisaṃvidito, indakhīlaṃ <b>atikkāmeyya</b>, pācittiyaṃ.											atikkām	eti pr	5			
atikhīṇa 1	p		pp		khīyati					spent; shot (from a bow); lit. over-exhausted	потраченный; который выпустили (из лука); досл. пере-израсходованный		√khī 1 a (to destroy, exhaust)		ati + √khī + na	ati + kṣīṇa	√kṣi				DHP 156	jarāvaggo	acaritvā brahmacariyaṃ, aladdhā yobbane dhanaṃ,<br/>senti cāpa-<b>atikhīṇā</b>'va, purāṇāni anutthunaṃ.																	atikhīṇ	a pp	5			
atiga	p		adj	in comps	atigacchati					overcome; surmounted; crossed; gone past	вышедший за рамки; преодолевший; пересекший		√gam 1 a (to go)		ati + √gam + a	atiga	√gam	atigata			DHP 370	bhikkhuvaggo	pañca chinde pañca jahe, pañca c'uttari bhāvaye,<br/>pañca saṅga-<b>atigo</b> bhikkhu, oghatiṇṇo'ti vuccati.																	atig	a adj	5			
aticiraṃ	p		ind	adv	cira					too long; so long; for such a long time	слишком долго; так долго; в течение длительного времени				ati + ciraṃ	cira					MN 19	dvedhāvitakkasuttaṃ	api ca kho me <b>aticiraṃ</b> anuvitakkayato anuvicārayato kāyo kilameyya. kāye kilante cittaṃ ūhaññeyya. ūhate citte ārā cittaṃ samādhimhā’ti.																	-		5			
aticca 2	n		ind	adv, ger	acceti					beyond; longer; more than usual; exceeding	вовне; дольше; более чем обычно; превышая		√i 1 a (to come, go)		ati + √i + tya	atyaya	√i				SNP 44	jarāsuttaṃ<br/>aṭṭhakavaggo 6	appaṃ vata jīvitaṃ idaṃ, oraṃ vassasatā'pi miyyati,<br/>yo ce'pi <b>aticca</b> jīvati, atha kho so jarasāpi miyyati.																	-		5			
atitta	p		adj	pp	tisati	neg				not satisfied; discontent	не удовлетворенный; недовольный		√tis 1 a (to satisfy)		na > a + √tis + ta	atṛpta	√tṛp				DHP 048	pupphavaggo	pupphāni h'eva pacinantaṃ, byāsattamanasaṃ naraṃ,<br/><b>atittañ</b>ñ'eva kāmesu, antako kurute vasaṃ.																	atitt	a adj	5			
atidhonacārī	p		adj	comp						who uses too many requisites; who indulges oneself too much	злоупотребляющий необходимыми вещами; слишком потакающий себе				ati + dhona + cārī	ati + dhauta + cārin			(DHPa) dhonā vuccati cattāro paccaye, idam'atthaṃ ete'ti paccavekkhitvā paribhuñjanapaññā, taṃ atikkamitvā caranto atidhonacārī nāma		DHP 240	malavaggo	ayasā’va malaṃ samuṭṭhitaṃ, tat’uṭṭhāya tam’eva khādati. <br/>evaṃ <b>atidhonacārinaṃ</b>, sāni kammāni nayanti duggatiṃ.																	atidhonacār	ī adj	5			
atināmeti	p		pr		atinamati		caus	trans	+acc	(of time) passes; spends	(о времени) проводит; тратит		√nam 1 *e (to bend)	√nam + *e > nāme (caus)	ati + nāme + ti	atināmayati	√nam				AN 5.73	paṭhamadhammavihārīsuttaṃ	so tāya dhamma-pariyattiyā divasaṃ <b>atināmeti</b>, riñcati paṭisallānaṃ, n’ānuyuñjati ajjhattaṃ cetosamathaṃ. ayaṃ vuccati, bhikkhu, bhikkhu pariyatti-bahulo, no dhammavihārī																	atinām	eti pr	5			
atipāta	s		masc		atipāteti		caus			slaying; killing; lit. causing to fall	убийство; лишение жизни; досл. вызов падения		√pat 1 *e (to fall)	√pat + *e > pāte (caus)	ati + pāte + a	atipāta	√pat										DN 22.18	mahāsatipaṭṭhānasuttaṃ	pāṇ’<b>ātipātā</b> veramaṇī, adinn’ādānā veramaṇī, kāmesu-micchācārā veramaṇī, ayaṃ vuccati bhikkhave sammā-kammanto. 	Ariy’aṭṭhaṅgika-magga	The Noble Eightfold Path	Teachings							21n	atipāt	a masc	5			
atipāteti 1	p		pr	caus	atipatati			trans	+acc	shoots past; flies past; lit. causes to fly past	стреляет (в сторону); выпускает (по); досл. побуждает перелететь		√pat 1 *e (to fall)	√pat + *e > pāte (caus)	ati + pāte + ti	atipatayati	√pat		(SNa) atipāteyyā'ti atikkameyya. yāvatā so tālacchāyaṃ atikkameyya, tāvatā kālena ekacakkavāḷaṃ atikkamāmī'ti attano javasampattiṃ dasseti.		AN 4.45	rohitassasuttaṃ	tassa mayhaṃ, bhante, evarūpo javo ahosi, seyyathā'pi nāma daḷhadhammo dhanuggaho sikkhito katahattho kat'ūpāsano lahukena asanena appakasirena tiriyaṃ tālacchāyaṃ <b>atipāteyya</b>.																	atipāt	eti pr	5			
atipāteti 2	p		pr		atipatati		caus	trans	+acc	destroys; kills; lit. causes to fall	истребляет; убивает; досл. вызывает падение		√pat 1 *e (to fall)	√pat + *e > pāte (caus)	ati + pāte + ti		√pat				DHP 246	malavaggo	yo pāṇam’<b>atipāteti</b>, musā-vādañ’ca bhāsati. <br/>loke adinnam’ādiyati, paradārañ’ca gacchati.																	atipāt	eti pr	5			
atipāto	p		ind	adv						too early	слишком рано				ati + pāto						DN 31.11	siṅgālasuttaṃ	ādīnavā ālasy'ānuyoge. atisītan'ti kammaṃ na karoti, atiuṇhan'ti kammaṃ na karoti, atisāyan'ti kammaṃ na karoti, <b>atipāto</b>'ti kammaṃ na karoti, atichāto'smī'ti kammaṃ na karoti																	-		5			
atippageva	p		sandhi	ind + adv + ind						too early in the morning; so early	слишком рано утром; так рано				ati + pago + eva	atiprage					JAa 77	mahāsupina jātakavaṇṇanā	satthā madhurassaraṃ nicchāretvā, kiṃ nu kho, mahārāja, <b>atippag’eva</b> āgatosī’ti āha																	!	ati pago eva	5			
atippago	p		ind	adv					+inf	too early (to); very early	слишком рано (чтобы); очень рано				ati + pago	atiprage					MN 13	mahā dukkhakkhandhasuttaṃ	atha kho tesaṃ bhikkhūnaṃ etad’ahosi, <b>atippago</b> kho tāva sāvatthiyaṃ piṇḍāya carituṃ, yaṃ nūna mayaṃ yena aññatitthiyānaṃ paribbājakānaṃ ārāmo ten’upasaṅkameyyāmā’ti																	-		5	6	22	
atimaññati	p		pr					trans	+acc	despises; scorns; looks down (on); has contempt (for); is condescending (to)	презирает; ни во что не ставит; смотрит вниз (на); относится снисходительно (к)		√man 3 ya (to think)	√man + ya > mañña	ati + mañña + ti	atimanyate	√man				AN 3.40	ādhipateyyasuttaṃ	kalyāṇaṃ vata bho sakkhi, attānaṃ <b>atimaññasi</b>,<br/>yo santaṃ attani pāpaṃ, attānaṃ parigūhasi.																	atimaññ	ati pr	5			
atimatta	s		pp		ati + majjati					maddened; highly deluded	сведенный с ума; введенный в заблуждение		√mad 3 ya (to be mad, intoxicated)		ati + √mad + ta	ati + matta	√mad										Trad		nāḷāgiriṃ gaja-varaṃ <b>atimatta</b>-bhūtaṃ, dāv’aggi-cakkam’asanī’va, sudāruṇan’taṃ, mett’ambu-seka-vidhinā jitavā mun’indo.	Jaya-maṅgala-aṭṭha-gāthā		Protective Recitations							60n	atimatt	a pp	5			
atimāna	n		masc	abstr	atimaññati					arrogance; pride; haughtiness; self-importance	высокомерие; гордость; надменность; чувство собственной значимости		√man 3 ya (to think)		ati + √man > mān + *a	atimāna	√man			also a hint of √mā to measure	SNP 48	purābhedasuttaṃ<br/>aṭṭhakavaggo 10	sātiyesu anassāvī, <b>atimāne</b> ca no yuto,<br/>saṇho ca paṭibhānavā, na saddho na virajjati.																	atimān	a masc	5			
atimānī	ps		adj		atimaññati					proud; conceited; arrogant	гордый; тщеславный; высокомерный		√man 3 ya (to think)		ati + √man + *ī	atimānin	√man				MN 8	sallekhasuttaṃ	<b>atimānissa</b> purisapuggalassa anatimāno hoti parinibbānāya. dubbacassa purisapuggalassa sovacassatā hoti parinibbānāya.				SNP 8	mettasuttaṃ<br/>uragavaggo 8	karaṇīyam’attha-kusalena, yaṃ taṃ santaṃ padaṃ abhisamecca:  <br/>sakko ujū ca suhujū ca, suvaco c’assa mudu, an-<b>atimānī</b>.	Karaṇīya-metta-sutta	The Buddha’s Words on Loving-Kindness	Protective Recitations							53n	atimān	ī adj	5			
atiyācanā	p		fem	abstr	atiyācati					asking too much; over-begging; lit. state of over begging	просить большая просьба; излишнее выпрашивание; досл. состояние чрезмерного выпрашивания		√yāc 1 a (to beg)		ati + √yāc + anā	ati + yācana	√yāc				VIN 1.2.6	kuṭikāra sikkhāpada	na taṃ yāce yassa piyaṃ jigīse, desso hoti <b>atiyācanāya</b>,<br/>nāgo maṇiṃ yācito brāhmaṇena, adassanaṃ'y'eva tad'ajjhagamā’ti.																	atiyācan	ā fem	5			
atiracchānakathika	p		masc	agent, comp		neg				who does not talk about vulgar topics; lit. not animal talker	кто не говорит на пошлые темы; досл. не ведущий животный разговор				na > a + tiracchāna + kathika	na + tiryaggata + kathika					AN 8.2	paññāsuttaṃ	saṅghagato kho pana anānākathiko hoti <b>atiracchānakathiko</b>. sāmaṃ vā dhammaṃ bhāsati, paraṃ vā ajjhesati, ariyaṃ vā tuṇhībhāvaṃ n'ātimaññati.																	atiracchānakathik	a masc	5			
atirekacīvara	p		nt	comp						surplus robe; excess robe-cloth; extra robe	излишнее одеяние; избыточная ткань для одежды; дополнительное одеяние				atireka + cīvara	atireka + cīvara			(VIN 1.4.1) atirekacīvaraṃ nāma anadhiṭṭhitaṃ avikappitaṃ.		VIN NP 1	kathina sikkhāpada	niṭṭhita-cīvarasmiṃ bhikkhunā ubbhatasmiṃ kaṭhine das’āha-paramaṃ <b>atirekacīvaraṃ</b> dhāretabbaṃ. taṃ atikkāmayato, nissaggiyaṃ pācittiyaṃ.																	atirekacīvar	a nt	5			
atirekapatta	p		masc	comp						extra bowl	дополнительная чаша				atireka + patta	atireka + pātra			(VIN 1.4.21) atirekapatto nāma anadhiṭṭhito avikappito.		VIN PAT NP 21	patta sikkhāpada	das’āhaparamaṃ <b>atirekapatto</b> dhāretabbo. taṃ atikkāmayato, nissaggiyaṃ pācittiyaṃ.																	atirekapatt	a masc	5			
atireka 1	ss		adj							more (than); superior; higher	больший чем; высший; превосходящий		√ric 2 ṃa (to empty)		ati + √ric > rek + *a	atireka	√ric										Trad		mār’<b>ātirekam</b>’abhiyujjhita-sabba-rattiṃ, ghoram’pan’āḷavakam’akkhama-thaddha-yakkhaṃ, khantī-sudanta-vidhinā jitavā mun’indo.	Jaya-maṅgala-aṭṭha-gāthā		Protective Recitations	PAT PK	dhammayuttika-pubbakicca	yāvatikā ca bhikkhū kammappattā saṅgh'uposath'ārahā cattāro vā tato vā <b>atirekā</b> pakatattā pārājikaṃ anāpannā saṅghena vā anukkhittā.	Pubbakicca	Preliminary duty	International Pātimokkha	60n	atirek	a adj	5			
atireka 2	pp		adj							surplus; excess; leftover; extra; more than	излишний; избыточный; оставшийся; дополнительный; больший чем		√ric 2 ṃa (to empty)		ati + √ric > rek + *a	atireka	√ric				VIN NP 1	kathina sikkhāpada	niṭṭhita-cīvarasmiṃ bhikkhunā ubbhatasmiṃ kaṭhine das’āha-paramaṃ <b>atireka</b>-cīvaraṃ dhāretabbaṃ. taṃ atikkāmayato, nissaggiyaṃ pācittiyaṃ.				VIN PAT NP 21	patta sikkhāpada	das’āhaparamaṃ <b>atireka-</b>patto dhāretabbo. taṃ atikkāmayato, nissaggiyaṃ pācittiyaṃ.											atirek	a adj	5			
atirocati	p		pr					trans	+acc	outshines; dazzles; illuminates; lit. very shines	затмевает; ослепляет; озаряет; досл. светит слишком		√ruc 1 a (to shine, like)	√ruc + *a > roca	ati + roca + ti	atirocate	√ruc				DHP 059	pupphavaggo	evaṃ saṅkārabhūtesu, andhabhūte puthujjane,<br/><b>atirocati</b> paññāya, sammāsambuddhasāvako.																	atiroc	ati pr	5			
atisāyaṃ	p		ind	adv						too late (in the day); late at night	слишком поздно (в течение дня); поздно ночью				ati + sāyaṃ	atisāyam					DN 31.11	siṅgālasuttaṃ	ādīnavā ālasy'ānuyoge. atisītan'ti kammaṃ na karoti, atiuṇhan'ti kammaṃ na karoti, <b>atisāyan</b>'ti kammaṃ na karoti, atipāto'ti kammaṃ na karoti, atichāto'smī'ti kammaṃ na karoti																	-		5	6	4	
