Pāli1	Fin	ex	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Meaning in SBS-PER	Pāli Root	Base	Construction	Sanskrit	Sk Root	Variant	Commentary	Notes	Source1	Sutta1	Example1	Pali chant 1	English chant 1	Chapter 1	Source2	Sutta2	Example2	Pali chant 2	English chant 2	Chapter 2	Source3	Sutta3	Example3	Pali chant 3	English chant 3	Chapter 3	Index	Stem	Pattern	Test	class	count	audio
atīta 2	ps		nt	pp	ati + eti					past			√i 1 a (to come, go)		ati + √i + ta	atīta	√i				AN 6.61	majjhesuttaṃ	evaṃ vutte aññataro bhikkhu there bhikkhū etad’avoca, <b>atītaṃ</b> kho, āvuso, eko anto, anāgataṃ dutiyo anto, paccuppannaṃ majjhe, taṇhā sibbinī.				MN 131	bhaddekarattasuttaṃ	atītaṃ n'ānvāgameyya,<br/>nappaṭikaṅkhe anāgataṃ,<br/>yad'<b>atītam</b>'pahīnan'taṃ,<br/>appattañ'ca anāgataṃ.	Bhadd’eka-ratta	A single Excellent Night	Verses							16n	atīt	a nt	5			
atītānāgatapaccuppanna	ps		adj	comp						past, future and present					atīta + anāgata + paccuppanna	atīta + anāgata + pratyutpanna					MN 18	madhupiṇḍikasuttaṃ	yaṃ papañceti tatonidānaṃ purisaṃ papañcasaññāsaṅkhā samudācaranti <b>atītān’āgatapaccuppannesu</b> cakkhuviññeyyesu rūpesu				SN 22.59	anattalakkhaṇasuttaṃ	'tasmā’t’iha, bhikkhave, yaṃ kiñci rūpaṃ <b>atīt’ānāgatapaccuppannaṃ</b> ajjhattaṃ vā bahiddhā vā oḷārikaṃ vā sukhumaṃ vā hīnaṃ vā paṇītaṃ vā yaṃ dūre santike vā	Anatta-lakkhaṇa-sutta	The Discourse on the Characteristic of Not-Self	Cardinal Suttas							38n	atītānāgatapaccuppann	a adj	5			
attakāma 1	s		adj	comp						who wants self-liberation; desiring one's own good; lit. wanting for self					atta + kāma	ātmakāma				(PED) sometimes confused with atthakāma							SN 6.2	gāravasuttaṃ	tasmā hi <b>attakāmena</b>, mahattam’abhikaṅkhatā. <br/>saddhammo garu-kātabbo, saraṃ buddhāna sāsanan”ti.	Dhamma-gārava	Respect for the Dhamma	Verses							07n	attakām	a adj	5			
attakilamatha	s		masc	comp						self-mortification; self-torture; lit. self tiring					atta + kilamatha	ātman + klamatha											SN 56.11	dhammacakkappavattanasuttaṃ	yo c’āyaṃ <b>attakilamath</b>’ānuyogo dukkho anariyo anatthasañhito.	Dhamma-cakkappavattana	Setting in Motion The Wheel of Dhamma	Teachings							17n	attakilamath	a masc	5			
attakilamathānuyoga	s		masc	comp						practice of self-mortification					atta + kilamatha + anuyoga	ātman + klamatha + anuyoga											SN 56.11	dhammacakkappavattanasuttaṃ	yo c’āyaṃ <b>attakilamath’ānuyogo</b> dukkho anariyo anatthasañhito.	Dhamma-cakkappavattana	Setting in Motion The Wheel of Dhamma	Teachings							17n	attakilamathānuyog	a masc	5			
attattha	ps		masc	comp						personal benefit; personal profit					atta + attha	ātman + artha					SN 46.55	saṅgāravasuttaṃ	uppannassa ca kāmarāgassa nissaraṇaṃ yathābhūtaṃ nappajānāti, <b>att’attham</b>’pi tasmiṃ samaye yathābhūtaṃ na jānāti na passati, par’attham’pi tasmiṃ samaye yathābhūtaṃ na jānāti na passati				SN 12.22	dutiyadasabalasuttaṃ	evaṃ hi vo bhikkhave sikkhitabbaṃ. <b>att’atthaṃ</b> vā hi bhikkhave sampassamānena alam’eva appamādena sampādetuṃ	Dhamma-pahaṃsāna	Striving According to the Dhamma	Teachings							28n	attatth	a masc	5			
attadīpa	s		adj	comp						self-reliant; independent; oneself as foundation; lit. own island; (or) own lamp					atta + dīpa	ātman + dvīpa<br/>ātman + dīpa											SN 22.43	attadīpasuttaṃ	“<b>attadīpā</b>, bhikkhave, viharatha attasaraṇā anaññasaraṇā, dhammadīpā dhammasaraṇā anaññasaraṇā.	Pakiṇṇaka-gāthā	Miscellaneous Verses	Verses							15n	attadīp	a adj	5			
attanā	ps		masc	instr sg, atta group	atta					with oneself; by self			√as 1 a (to be)		atta + anā	ātmanā	√as				DHP 066	bālavaggo	caranti bālā dummedhā, amitten'eva <b>attanā</b>,<br/>karontā pāpakaṃ kammaṃ, yaṃ hoti kaṭukapphalaṃ.				MN 51	kandarakasuttaṃ	adinn’ādānaṃ pahāya adinn’ādānā paṭivirato hoti dinn’ādāyī dinnapāṭikaṅkhī, athenena sucibhūtena <b>attanā</b> viharati.	Anupubba-sikkhā	The Gradual Training	Teachings							18n	!att	a2 masc	5			
attani 1	ps		masc	loc sg, atta group	atta					in oneself; for oneself			√as 1 a (to be)		atta + ni	ātmani	√as				SNP 41	duṭṭhaṭṭhakasuttaṃ<br/>aṭṭhakavaggo 3	pakappitā saṅkhatā yassa dhammā, purakkhatā santi avīvadātā,<br/>yad'<b>attani</b> passati ānisaṃsaṃ, taṃ nissito kuppapaṭicca santiṃ.				MN 39	mahāassapurasuttaṃ	bhikkhu yathā iṇaṃ yathā rogaṃ yathā bandhan’āgāraṃ yathā dāsabyaṃ yathā kantār’addhānamaggaṃ, ime pañca nīvaraṇe appahīne <b>attani</b> samanupassati	Anupubba-sikkhā	The Gradual Training	Teachings							18n	!att	a2 masc	5			
attano 2	ps		masc	gen sg, atta group	atta					of self; of oneself			√as 1 a (to be)		atta + no	ātmanaḥ	√as				DHP 239	malavaggo	anupubbena medhāvī, thokaṃ thokaṃ khaṇe khaṇe. <br/>kammāro rajatass’eva, niddhame malam’<b>attano</b>.				SNP 22	uṭṭhānasuttaṃ<br/> cūḷavaggo 10	pamādo rajo pamādo, pamād’ānupatito rajo, <br/>appamādena vijjāya, abbahe sallam’<b>attano</b>’ti.	Pakiṇṇaka-gāthā	Miscellaneous Verses	Verses							15n	!att	a2 masc	5			
attamana	psp	70	adj	comp						pleased; happy; delighted; satisfied; lit. own mind					atta + mana	ātta + manas					DN 10.2	subhasuttaṃ	te tāvataken'eva <b>attamanā</b> assu — ‘alam'ettāvatā, katam'ettāvatā, anuppatto no sāmaññ'attho, n'atthi no kiñci uttarikaraṇīyan’ti.				SN 22.59	anattalakkhaṇasuttaṃ	idam’avoca bhagavā. <b>attamanā</b> pañcavaggiyā bhikkhū bhagavato bhāsitaṃ abhinanduṃ.	Anatta-lakkhaṇa-sutta	The Discourse on the Characteristic of Not-Self	Cardinal Suttas	DHP 328	nāgavaggo	sace labhetha nipakaṃ sahāyaṃ, saddhiṃcaraṃ sādhuvihāridhīraṃ,<br/>abhibhuyya sabbāni parissayāni, careyya ten'<b>attamano</b> satīmā.				38n	attaman	a adj	5			
attasaraṇa	s		adj	comp						depending on oneself; one's own refuge; with oneself as a refuge					atta + saraṇa	ātman + śaraṇa											SN 22.43	attadīpasuttaṃ	“attadīpā, bhikkhave, viharatha <b>attasaraṇā</b> anaññasaraṇā, dhammadīpā dhammasaraṇā anaññasaraṇā.	Pakiṇṇaka-gāthā	Miscellaneous Verses	Verses							15n	attasaraṇ	a adj	5			
attavāda	s		masc	comp						theory; doctrine of self; self concept; sense of being					atta + vāda	ātmapravāda											SN 12.2	vibhaṅgasuttaṃ	kām’upādānaṃ, diṭṭh’upādānaṃ, sīlabbat’upādānaṃ, <b>attavād’</b>upādānaṃ. idaṃ vuccati taṇhā-paccayā upādānaṃ.	Paṭicca-samuppāda	Dependent Origination	Teachings							23n	attavād	a masc	5			
attavādupādāna	s		nt	comp						grasping of theory of self; clinging to a self-concept; attachment to sense of being					attavāda + upādāna	ātmapravāda + upādāna											SN 12.2	vibhaṅgasuttaṃ	kām’upādānaṃ, diṭṭh’upādānaṃ, sīlabbat’upādānaṃ, <b>attavād’upādānaṃ</b>. idaṃ vuccati taṇhā-paccayā upādānaṃ.	Paṭicca-samuppāda	Dependent Origination	Teachings							23n	attavādupādān	a nt	5			
atta 1	ps		masc	nom sg, atta group						self; oneself			√as 1 a (to be)		√as + ta	ātmā	√as				SN 22.59	anattalakkhaṇasuttaṃ	saṅkhārā ca h’idaṃ <b>attā</b> abhavissaṃsu, na’y’idaṃ saṅkhārā ābādhāya saṃvatteyyuṃ, labbhetha ca saṅkhāresu — ‘evaṃ me saṅkhārā hontu, evaṃ me saṅkhārā mā ahesuṃ				SNP 16	maṅgalasuttaṃ<br/>cūḷavaggo 4	patirūpa-desa-vāso ca, pubbe ca katapuññatā.<br/><b>atta</b>-sammā-paṇidhi ca, etaṃ maṅgalam’uttamaṃ. 	Maṅgala-sutta	The Highest Blessings	Protective Recitations							51n	att	a2 masc	5			
attānaṃ	ps		masc	acc sg, atta group	atta					self; himself; herself; itself; oneself (object)			√as 1 a (to be)		atta + ānaṃ	ātmānam	√as				SN 22.1	nakulapitusuttaṃ	na rūpaṃ attato samanupassati, na rūpavantaṃ vā <b>attānaṃ</b>; na attani vā rūpaṃ, na rūpasmiṃ vā <b>attānaṃ</b>. ‘ahaṃ rūpaṃ, mama rūpan’ti na pariyuṭṭhaṭṭhāyī hoti. 				Thai		ahaṃ sukhito homi niddukkho homi avero homi abyāpajjho homi anīgho homi sukhī <b>attānaṃ</b> pariharāmi	Mettā-pharaṇa	Universal Well-Being	Reflections							321n	!att	a2 masc	5			
atthaṅgama	ps		masc	comp						disappearance; vanishing; settling down; subsiding; lit. going home					atthaṃ + gama	asta					AN 4.41	samādhibhāvanāsuttaṃ	idha, bhikkhave, bhikkhu pañcasu upādānakkhandhesu udayabbay’ānupassī viharati — ‘iti rūpaṃ, iti rūpassa samudayo, iti rūpassa <b>atthaṅ’gamo</b>				DN 22.18	mahāsatipaṭṭhānasuttaṃ	sukhassa ca pahānā dukkhassa ca pahānā, pubb’eva somanassa-domanassānaṃ <b>atthaṅ’gamā</b>, adukkham’asukhaṃ upekkhā-sati-pārisuddhiṃ catutthaṃ jhānaṃ upasampajja viharati.	Ariy’aṭṭhaṅgika-magga	The Noble Eightfold Path	Teachings							21n	atthaṅgam	a masc	5			
atthacinta	s		adj	comp						thoughts intent on the goal; thinking of the meaning					attha + cinta												TH 257	pārāpariyattheragāthā	nīcā niviṭṭhā subharā, mudū atthaddha-mānasā.<br/>abyāsekā amukharā, <b>atthacintā</b> vas’ānugā. 	Pārāpariya-thera-gāthā	From the Elder Pārāpariya	Verses							13n	atthacint	a adj	5			
atthaddha	s		adj	pp	na + thambheti	neg				not proud; not arrogant; lit. not stiff			√thamb 1 a (to support, be stiff)		na + √thamb + ta	na + stabdha	√ṣṭabh √stabh	athaddha									TH 257	pārāpariyattheragāthā	nīcā niviṭṭhā subharā, mudū <b>atthaddha</b>-mānasā.<br/>abyāsekā amukharā, attha-cintā vas’ānugā. 	Pārāpariya-thera-gāthā	From the Elder Pārāpariya	Verses							13n	atthaddh	a adj	5			
atthaddhamānasa	s		adj	comp						not stubborn at heart; without being stubborn					na + thaddha + mānasa												TH 257	pārāpariyattheragāthā	nīcā niviṭṭhā subharā, mudū <b>atthaddhamānasā</b>.<br/>abyāsekā amukharā, attha-cintā vas’ānugā. 	Pārāpariya-thera-gāthā	From the Elder Pārāpariya	Verses							13n	atthaddhamānas	a adj	5			
atthasaṃhita	ps		adj	comp						profitable; meaningful; beneficial; lit. connected with good					attha + saṃhita	artha + saṃhita		atthasañhita			MN 139	araṇavibhaṅgasuttaṃ	yañ’ca kho jaññā rahovādaṃ bhūtaṃ tacchaṃ <b>atthasaṃhitaṃ</b> tatra kālaññū assa tassa rahovādassa vacanāya.				MN 51	kandarakasuttaṃ	samphappalāpaṃ pahāya samphappalāpā paṭivirato hoti kālavādī bhūtavādī atthavādī dhammavādī vinayavādī, nidhānavatiṃ vācaṃ bhāsitā kālena sāpadesaṃ pariyantavatiṃ <b>atthasaṃhitaṃ</b>	Anupubba-sikkhā	The Gradual Training	Teachings							18n	atthasaṃhit	a adj	5			
atthavādī	s	5	masc	agent, comp						who speaks what is beneficial; who says what is meaningful					attha + vādī	artha + vādin																	MN 51	kandarakasuttaṃ	samphappalāpaṃ pahāya samphappalāpā paṭivirato hoti kālavādī bhūtavādī <b>atthavādī</b> dhammavādī vinayavādī, nidhānavatiṃ vācaṃ bhāsitā kālena sāpadesaṃ pariyantavatiṃ atthasaṃhitaṃ	Anupubba-sikkhā	The Gradual Training	Teachings	18n	atthavād	ī masc	5			[sound:atthavādī.mp3]
atthaṃ	ps		ind	adv, ac sg, in comps	attha					for the purpose of; for the sake of			√ar 1 a (to move, attain)		√ar + tha + aṃ	arthaṃ	√ṛ				AN 4.25	brahmacariyasuttaṃ	atha kho idaṃ, bhikkhave, brahmacariyaṃ vussati saṃvar’<b>atthaṃ</b> pahān’<b>atthaṃ</b> virāg’<b>atthaṃ</b> nirodh’<b>atthan</b>”ti.				MN 2.4	sabbāsavasuttaṃ	paṭisaṅkhā yoniso sen'āsanaṃ paṭisevāmi yāva’d’eva sītassa paṭighātāya uṇhassa paṭighātāya ḍaṃsa-makasa-vāt’ātapa-siriṃsapa-samphassānaṃ paṭighātāya yāva’d’eva utuparissaya-vinodanaṃ paṭisallān’ārām’<b>atthaṃ</b>	Cattaro parikkhāra	The Four Requisites	Reflections							30n	-		5			
attha 1	ps	3	masc							meaning; significance			√ar 1 a (to move, attain)		√ar + tha	artha	√ṛ				SN 22.4	dutiyahāliddikānisuttaṃ	imassa nu kho, bhante, bhagavatā saṃkhittena bhāsitassa kathaṃ vitthārena <b>attho</b> daṭṭhabbo’ti?				MN 27	cūḷahatthipadopamasuttaṃ	so dhammaṃ deseti ādikalyāṇaṃ majjhekalyāṇaṃ pariyosānakalyāṇaṃ s’<b>ātthaṃ</b> sabyañjanaṃ, kevalaparipuṇṇaṃ parisuddhaṃ brahmacariyaṃ pakāseti.	Buddh'ābhitthuti	Homage to the Buddha	Homage to the Triple Gem	SN 22.1	nakulapitusuttaṃ	sādhu vat'āyasmantaṃ'y'eva sāriputtaṃ paṭibhātu etassa bhāsitassa <b>attho</b>'ti.				02n	atth	a masc	5	2	2769	[sound:attha.mp3]
attha 2	ss		masc							benefit; profit; good; welfare; goal			√ar 1 a (to move, attain)		√ar + tha	artha	√ṛ										SNP 8	mettasuttaṃ<br/>uragavaggo 8	karaṇīyam’<b>attha</b>-kusalena, yaṃ taṃ santaṃ padaṃ abhisamecca:  <br/>sakko ujū ca suhujū ca, suvaco c’assa mudu, anatimānī.	Karaṇīya-metta-sutta	The Buddha’s Words on Loving-Kindness	Protective Recitations	SN 12.22	dutiyadasabalasuttaṃ	ubhay’<b>atthaṃ</b> vā hi bhikkhave sampassamānena alam’eva appamādena sampādetun'ti	Dhamma-pahaṃsāna	Striving According to the Dhamma	Teachings	53n	atth	a masc	5	2	2769	
attha 7	ps		masc							home; rest; shelter						asta					DHP 226	kodhavaggo	sadā jāgaramānānaṃ, ahoratt'ānusikkhinaṃ,<br/>nibbānaṃ adhimuttānaṃ, <b>atthaṃ</b> gacchanti āsavā.				DN 22.18	mahāsatipaṭṭhānasuttaṃ	sukhassa ca pahānā dukkhassa ca pahānā, pubb’eva somanassa-domanassānaṃ <b>atthaṅ’</b>gamā, adukkham’asukhaṃ upekkhā-sati-pārisuddhiṃ catutthaṃ jhānaṃ upasampajja viharati.	Ariy’aṭṭhaṅgika-magga	The Noble Eightfold Path	Teachings							21n	atth	a masc	5	2	2769	
attha 8	s	5	imp	2nd sg	atthi					you (all) must be; may you (all) be			√as 1 a (to be)		√as + tha		√as																MN 19	dvedhāvitakkasuttaṃ	etāni, bhikkhave, rukkhamūlāni, etāni suññāgārāni. jhāyatha, bhikkhave, mā pamād’<b>attha</b>, mā pacchā vippaṭisārino ahuvattha. ayaṃ vo amhākaṃ anusāsanī’ti.	Pakiṇṇaka-gāthā	Miscellaneous Verses	Verses	15n	!*	atthi pr	5	4	93	[sound:attha.mp3]
atthāya hitāya sukhāya	s		idiom	masc + nt + nt					+gen	for the good; the benefit and the happiness (of)																	DN 16.21	mahāparinibbānasuttaṃ	yatha'y'idaṃ brahmacariyaṃ addhaniyaṃ assa ciraṭṭhitikaṃ, tadassa bahujanahitāya bahujanasukhāya lok’ānukampāya <b>atthāya hitāya sukhāya</b> devamanussānaṃ	Bodhipakkhiya-dhammā	Requisites for Awakening	Teachings							19n	!	attha hita sukha	5			
atthāya 1	ps		masc	dat sg	attha				+gen	for the purpose (of); for the sake (of); for the benefit (of)			√ar 1 a (to move, attain)		attha + āya	arthatas	√ṛ				SN 47.10	bhikkhunupassayasuttaṃ	“yassa khv’āhaṃ <b>atthāya</b> cittaṃ paṇidahiṃ so me attho abhinipphanno. handa dāni paṭisaṃharāmi”				PAT PK	dhammayuttika-pubbakicca	bhikkhugaṇanā nāma imasmiṃ uposath'agge uposath'<b>atthāya</b> sannipatitā bhikkhū ettakā'ti, bhikkhūnaṃ gaṇanā.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	!atth	a masc	5	9	291	
atthāya 2	s		masc	dat sg	attha				+gen	fortunate (for); beneficial (for); useful (for); lit. for the benefit (of)			√ar 1 a (to move, attain)		attha + āya	arthatas	√ṛ										DN 16.21	mahāparinibbānasuttaṃ	yatha'y'idaṃ brahmacariyaṃ addhaniyaṃ assa ciraṭṭhitikaṃ, tadassa bahujanahitāya bahujanasukhāya lok’ānukampāya <b>atthāya</b> hitāya sukhāya devamanussānaṃ	Bodhipakkhiya-dhammā	Requisites for Awakening	Teachings							19n	!atth	a masc	5	9	291	
atthika 2	ps		adj		attha					wanting; needing; desiring; seeking			√atth 8 *e (to wish for)		√atth + ika	arthika	√arth				MN 39	mahāassapurasuttaṃ	ārocayāmi vo, bhikkhave, paṭivedayāmi vo, bhikkhave — ‘mā vo sāmaññ’<b>atthikānaṃ</b> sataṃ sāmaññ’attho parihāyi, sati uttariṃ karaṇīye’.				SNP 22	uṭṭhānasuttaṃ<br/> cūḷavaggo 10	yāya devā manussā ca, sitā tiṭṭhanti <b>atthikā</b>, <br/>tarath’etaṃ visattikaṃ, khaṇo vo mā upaccagā, <br/>khaṇ’ātītā hi socanti, nirayamhi samappitā.	Pakiṇṇaka-gāthā	Miscellaneous Verses	Verses							15n	atthik	a adj	5			
atthitā	ps		fem	abstr	atthi					existence; idea of existence; fact of being present; lit. is state			√as 1 a (to be)		√as + ti + tā<br/>atthi + tā	astitā	√as				VIN PAT PK	saṅghuposatha pubbakaraṇādi vidhi	idāni pana sūriy’ālokassa <b>atthitāya</b> padīpakiccaṃ idha natthi.				PAT PK	dhammayuttika-pubbakicca	tattha purimesu catūsu kiccesu idāni suriy'ālokassa <b>atthitāya</b> n'atthi, aparāni tīṇi bhikkhūnaṃ vattaṃ jānantehi bhikkhūhi katāni pariniṭṭhitāni honti.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	atthit	ā fem	5			
atthi 1	sp	4	pr		atthi			intrans	+nom	there is			√as 1 a (to be)		√as + ti > atthi	asti	√as										SNP 13	ratanasuttaṃ<br/>cūḷavaggo 1	yaṃ kiñci vittaṃ idha vā huraṃ vā,  <br/>saggesu vā yaṃ ratanaṃ paṇītaṃ. <br/>na no samaṃ <b>atthi</b> tathāgatena,	Ratana-sutta		Protective Recitations	MN 10	mahāsatipaṭṭhānasuttaṃ	‘<b>atthi</b> kāyo’ti vā pana’ssa sati paccupaṭṭhitā hoti.				52n	!*	atthi pr	5	4	3596	[sound:atthi.mp3]
atthi 2	ns	6	pr	3rd pl	atthi			intrans	+nom	there are; they are			√as 1 a (to be)		√as + ti > atthi	santi	√as			Kacc 494, 495 (ti > tthi)	SNP 46	pasūrasuttaṃ<br/>aṭṭhakavaggo 8	ye diṭṭhim'uggayha vivādayanti, idam'eva saccan'ti ca vādayanti,<br/>te tvaṃ vadassū na hi te'dha <b>atthi</b>, vādamhi jāte paṭisenikattā.										SNP 8	mettasuttaṃ<br/>uragavaggo 8	ye keci pāṇabhūtā-<b>atthi</b>, tasā vā thāvarā vā anavasesā,<br/>dīghā vā y'eva mahantā vā, majjhimā rassakā aṇukathūlā.	Karaṇīya-metta-sutta	The Buddha’s Words on Loving-Kindness	Protective Recitations	53n	!*	atthi pr	5	4	3596	[sound:atthi.mp3]
atha kho 1	ps	4	idiom	ind + ind						then; and then; after that						atha khalu					MN 152	indriyabhāvanāsuttaṃ	dandho, ānanda, udaka-phusitānaṃ nipāto, <b>atha kho</b> naṃ khippam’eva parikkhayaṃ pariyādānaṃ gaccheyya;				SNP 16	maṅgalasuttaṃ<br/>cūḷavaggo 4	<b>atha kho</b> aññatarā devatā abhikkantāya rattiyā abhikkanta-vaṇṇā kevalakappaṃ jetavanaṃ obhāsetvā yena bhagavā ten’upasaṅkami	Maṅgala-sutta	The Highest Blessings	Protective Recitations	SN 21.9	tissasuttaṃ	 <b>atha kho</b> āyasmā tisso bhagavato pitucchāputto yena bhagavā ten'upasaṅkami; upasaṅkamitvā bhagavantaṃ abhivādetvā ekam'antaṃ nisīdi				51n	!	atha kho	5			[sound:athakho.mp3]
atha 1	ps	6	ind							and; then; and also						atha											SNP 16	maṅgalasuttaṃ<br/>cūḷavaggo 4	<b>atha</b> kho aññatarā devatā abhikkantāya rattiyā abhikkanta-vaṇṇā kevalakappaṃ jetavanaṃ obhāsetvā yena bhagavā ten’upasaṅkami	Maṅgala-sutta	The Highest Blessings	Protective Recitations	DHP 279	maggavaggo	“sabbe dhammā anattā”ti, yadā paññāya passati. <br/><b>atha</b> nibbindati dukkhe, esa maggo visuddhiyā.	Ti-lakkhaṇā	The Three Characteristics	Verses	51n	-		5	13	5993	
athāpi 1	s		sandhi	ind + ind						and even					atha + api	atha + api											SN 6.2	gāravasuttaṃ	sabbe saddhamma-garuno, vihariṃsu viharanti ca. <br/><b>athā'pi</b> viharissanti, esā buddhāna dhammatā.	Dhamma-gārava	Respect for the Dhamma	Verses							07n	!	atha api	5			
athāyaṃ	ps		sandhi	ind + pron						but this; then this; and this					atha + ayaṃ	atha + ayam					MN 43	mahāvedallasuttaṃ	yadā kho, āvuso, imaṃ kāyaṃ tayo dhammā jahanti, āyu usmā ca viññāṇaṃ, <b>ath'āyaṃ</b> kāyo ujjhito avakkhitto seti, yathā kaṭṭhaṃ acetanan'ti.				DHP 085	paṇḍitavaggo	appakā te manussesu, ye janā pāragāmino.<br/><b>ath’āyaṃ</b> itarā pajā, tīram’ev’ānudhāvati.	Ti-lakkhaṇā	The Three Characteristics	Verses							10n	!	atha ayaṃ	5			
athāhaṃ	ps		sandhi	ind + pron						then I					atha + ahaṃ	atha + aham		ṭhānamahaṃ, ṭhānametaṃ yenāhaṃ, idhāhaṃ			AN 3.66	kesamuttisuttaṃ	sace kho pana atthi paro loko, atthi sukatadukkaṭānaṃ kammānaṃ phalaṃ vipāko, <b>ath'āhaṃ</b> kāyassa bhedā paraṃ maraṇā sugatiṃ saggaṃ lokaṃ upapajjissāmī'ti				SN 56.11	dhammacakkappavattanasuttaṃ	<b>ath'āhaṃ</b> bhikkhave sadevake loke samārake sabrahmake sassamaṇabrāhmaṇiyā pajāya sadevamanussāya	Dhamma-cakkappavattana	Setting in Motion The Wheel of Dhamma	Teachings							17n	!	atha ahaṃ	5			
athena	s		adj			neg				not stealing			√then 8 *e (to steal)		na + √then + a	na + stena, na + styena	√stena										MN 51	kandarakasuttaṃ	adinn’ādānaṃ pahāya adinn’ādānā paṭivirato hoti dinn’ādāyī dinnapāṭikaṅkhī, <b>athenena</b> sucibhūtena attanā viharati.	Anupubba-sikkhā	The Gradual Training	Teachings							18n	athen	a adj	5			
atho	psp	6	ind							and then; after that; because of						atho					AN 5.57	abhiṇhapaccavekkhitabbaṭhānasuttaṃ	byādhidhammā jarādhammā, <b>atho</b> maraṇadhammino.<br/>yathā dhammā tathā sattā, jigucchanti puthujjanā.				SNP 13	ratanasuttaṃ<br/>cūḷavaggo 1	yān’īdha bhūtāni samāgatāni,  bhummāni vā yāni va antalikkhe. <br/>sabb’eva bhūtā sumanā bhavantu,  <b>atho'</b>pi sakkacca suṇantu bhāsitaṃ.	Ratana-sutta		Protective Recitations	SN 7.15	mānatthaddhasuttaṃ	mātari pitari c’āpi, <b>atho</b> jeṭṭhamhi bhātari. ācariye catutthamhi, tesu na mānaṃ kayirātha.				52n	-		5			
athopi	ps		sandhi	ind + ind						and too; and even					atho + api	atho + api					SNP 41	duṭṭhaṭṭhakasuttaṃ<br/>aṭṭhakavaggo 3	vadanti ve duṭṭhamanā'pi eke, <b>atho'pi</b> ve saccamanā vadanti,<br/>vādañ'ca jātaṃ muni no upeti, tasmā munī n'atthi khilo kuhiñci.				SNP 13	ratanasuttaṃ<br/>cūḷavaggo 1	yān'īdha bhūtāni samāgatāni, bhummāni vā yāni va antalikkhe,<br/>sabb'eva bhūtā sumanā bhavantu, <b>atho'pi</b> sakkacca suṇantu bhāsitaṃ.	Ratana-sutta		Protective Recitations							52n	!	atho api	5			
adāsi	ps		aor		deti			trans	+acc	gave			√dā 1 a (to give)		a + √dā + si	adāt	√dā				APA 523	tiṇamuṭṭhidāyaka therāpadānaṃ	migaluddo pure āsiṃ, araññe kānane ahaṃ,<br/>disvāna taṃ devadevaṃ, tiṇamuṭṭhiṃ <b>adās</b>'ahaṃ.				KHP 7	tirokuṭṭasuttaṃ	<b>adāsi</b> me akāsi me, ñātimittā sakhā ca me. petānaṃ dakkhiṇaṃ dajjā, pubbe katam’anussaraṃ.	Adāsi-me ādi gāthā		Funeral Chants							66n	ad	āsi aor	5	4	133	
adiṭṭha	ps		adj	pp	na + dassati	neg				not seen			√dis 1 a (to see)		na + √dis + ta	adṛṣṭa	√dṛś				SN 35.95	mālukyaputtasuttaṃ	taṃ kiṃ maññasi ye te cakkhuviññeyyā rūpā <b>adiṭṭhā</b> adiṭṭhapubbā, na ca passasi, na ca te hoti passeyyan’ti? atthi te tattha chando vā rāgo vā pemaṃ vā”ti?				SNP 8	mettasuttaṃ<br/>uragavaggo 8	diṭṭhā vā ye ca <b>adiṭṭhā</b>,  ye сa dūre vasanti avidūre<br/>bhūtā vā sambhav’esī vā, sabbe sattā bhavantu sukhit’attā.	Karaṇīya-metta-sutta	The Buddha’s Words on Loving-Kindness	Protective Recitations							53n	adiṭṭh	a adj	5			
adinna	ps		adj	pp	na dadāti	neg				not given; not offered			√dā 1 a (to give)		na + √dā > dī + na	adatta	√dā				DHP 246	malavaggo	yo pāṇam’atipāteti, musā-vādañ’ca bhāsati. <br/>loke <b>adinnam</b>’ādiyati, paradārañ’ca gacchati. 				DN 22.18	mahāsatipaṭṭhānasuttaṃ	pāṇ’ātipātā veramaṇī, <b>adinn’</b>ādānā veramaṇī, kāmesu-micchācārā veramaṇī, ayaṃ vuccati bhikkhave sammā-kammanto. 	Ariy’aṭṭhaṅgika-magga	The Noble Eightfold Path	Teachings							21n	adinn	a adj	5			
adinnādāna	ss		nt	comp						theft; stealing; lit. taking what is not given					adinna + ādāna	adattādāna											DN 22.18	mahāsatipaṭṭhānasuttaṃ	pāṇ’ātipātā veramaṇī, <b>adinn’ādānā</b> veramaṇī, kāmesu-micchācārā veramaṇī, ayaṃ vuccati bhikkhave sammā-kammanto. 	Ariy’aṭṭhaṅgika-magga	The Noble Eightfold Path	Teachings	MN 51	kandarakasuttaṃ	<b>adinn’ādānaṃ</b> pahāya <b>adinn’ādānā</b> paṭivirato hoti dinn’ādāyī dinnapāṭikaṅkhī, athenena sucibhūtena attanā viharati.	Anupubba-sikkhā	The Gradual Training	Teachings	21n	adinnādān	a nt	5			
